厚度mm,孔隙率（%）,压缩回弹性率（%）,过滤阻力Pa,过滤效率（%）,透气性 mm/s,插层率（%）,热风速度(r/min),接收距离(cm)
2.81,96.28,83.2,7.533,19.967,1019.67,36.44,800.0,40.0
2.91,96.41,86.65,7.2,24.967,968.63,24.74,900.0,40.0
3.425,96.95,94.33,10.133,34.6,643.4,31.45,1000.0,40.0
3.4,96.93,82.88,10.6,33.9,603.17,19.37,1100.0,40.0
3.845,97.3,75.97,15.7,54.5,405.83,31.19,1200.0,40.0
2.015,94.82,82.19,9.533,26.4,660.3,16.53,800.0,35.0
2.75,96.7,83.05,14.567,35.567,642.9,19.73,900.0,35.0
3.165,96.7,89.29,17.1,44.867,408.6,21.72,1000.0,35.0
2.81,96.28,91.49,21.1,50.167,329.73,18.62,1100.0,35.0
2.725,96.17,85.73,25.167,56.733,284.77,13.87,1200.0,35.0
2.365,95.58,90.2,10.3,22.833,653.47,7.63,800.0,30.0
2.935,96.44,92.31,14.067,40.667,530.5,19.84,900.0,30.0
2.445,95.73,90.11,20.467,47.0,325.03,4.84,1000.0,30.0
2.525,96.43,84.24,24.633,61.433,262.07,22.12,1100.0,30.0
2.725,96.17,94.59,29.333,67.133,234.67,2.5,1200.0,30.0
1.775,94.12,88.76,17.8,30.967,455.7,15.69,800.0,25.0
2.05,94.91,82.65,19.967,41.733,335.37,29.79,900.0,25.0
2.115,95.06,80.98,28.733,55.367,249.43,50.87,1000.0,25.0
3.105,96.64,83.82,34.9,66.067,242.6,43.72,1100.0,25.0
2.96,96.47,86.47,48.0,74.933,180.0,21.71,1200.0,25.0
1.74,94.0,90.12,23.033,42.333,309.93,11.32,800.0,20.0
2.02,94.83,86.21,34.1,60.733,234.13,19.35,900.0,20.0
2.06,94.93,87.12,49.367,73.2,226.03,24.02,1000.0,20.0
2.085,94.99,88.83,48.567,81.633,191.1,35.88,1100.0,20.0
2.425,95.69,84.38,62.033,86.967,156.33,32.95,1200.0,20.0
